Date,Close,EMA30,SMA30,SMA60,SMA200
2012-07-09,3985.044922,,,,
2012-07-10,4009.677979,,,,
2012-07-11,4019.133057,,,,
2012-07-12,3984.120117,,,,
2012-07-13,4019.673096,,,,
2012-07-16,4047.465088,,,,
2012-07-17,4080.672119,,,,
2012-07-18,4081.63501,,,,
2012-07-19,4096.195801,,,,
2012-07-20,4081.200928,,,,
2012-07-23,4009.792969,,,,
2012-07-24,3992.113037,,,,
2012-07-25,4000.839111,,,,
2012-07-26,4004.775879,,,,
2012-07-27,4084.211914,,,,
2012-07-30,4099.121094,,,,
2012-07-31,4142.336914,,,,
2012-08-01,4130.464844,,,,
2012-08-02,4093.112061,,,,
2012-08-03,4099.812988,,,,
2012-08-06,4105.499023,,,,
2012-08-07,4085.580078,,,,
2012-08-08,4090.708984,,,,
2012-08-09,4131.169922,,,,
2012-08-10,4141.563965,,,,
2012-08-13,4102.529785,,,,
2012-08-14,4121.556152,,,,
2012-08-15,4141.98584,,,,
2012-08-16,4160.507813,,,,
2012-08-23,4162.65918,4076.8386556667,4076.8386556667,,
2012-08-24,4145.398926,4081.261898914,4082.1837891333,,
2012-08-27,4145.87793,4085.4306751131,4086.7237875,,
2012-08-28,4142.848145,4089.135028009,4090.8476237667,,
2012-08-29,4093.169922,4089.3953437504,4094.4826172667,,
2012-08-30,4025.583008,4085.2784188633,4094.6796143333,,
2012-08-31,4060.331055,4083.6689115172,4095.1084799,,
2012-09-03,4117.948242,4085.8804812258,4096.3510173333,,
2012-09-04,4105.25293,4087.1303166306,4097.1382813333,,
2012-09-05,4075.352051,4086.3704285254,4096.4434896667,,
2012-09-06,4102.856934,4087.4340740399,4097.1653565333,,
2012-09-07,4143.679199,4091.0627917792,4101.6282308667,,
2012-09-10,4160.660156,4095.5529443096,4107.2464681667,,
2012-09-11,4155.355957,4099.4112031929,4112.3970297,,
2012-09-12,4174.097168,4104.2296525353,4118.0410726667,,
2012-09-13,4170.63916,4108.5141368878,4120.9219808667,,
2012-09-14,4256.998047,4118.0937439918,4126.1845459667,,
2012-09-17,4255.283203,4126.9446768311,4129.9494222667,,
2012-09-18,4223.894043,4133.1994746484,4133.0637289,,
2012-09-19,4244.710938,4140.3937626066,4138.1170248,,
2012-09-20,4217.516113,4145.3693981158,4142.0404623,,
2012-09-21,4244.621094,4151.7727333342,4146.6778646667,,
2012-09-24,4200.914063,4154.9431416997,4150.5223308333,,
2012-09-25,4226.88623,4159.5846312675,4155.0615723667,,
2012-09-26,4180.163086,4160.9122735083,4156.6946778333,,
2012-09-27,4225.023926,4165.0485091529,4159.4766765333,,
2012-09-28,4262.561035,4171.3396398527,4164.8110515333,,
2012-10-01,4236.292969,4175.5301772171,4168.6356121,,
2012-10-02,4256.838867,4180.7758991385,4172.4640463333,,
2012-10-03,4251.51123,4185.3394688715,4175.4974935667,,
2012-10-04,4271.460938,4190.8956926863,4179.1242188333,4127.98143725,
2012-10-05,4311.313965,4198.6646134807,4184.6547201333,4130.9868885246,
2012-10-08,4268.234863,4203.1530166755,4188.7332845667,4135.6293465738,
2012-10-09,4280.25,4208.1270155997,4193.3133464,4140.0649534754,
2012-10-10,4280.009766,4212.7646123997,4199.5413412,4144.3416208361,
2012-10-11,4284.966797,4217.4228178578,4208.1874675,4149.273533623,
2012-10-12,4311.391113,4223.4852885121,4216.5561361,4154.0557961967,
2012-10-15,4313.521973,4229.2941068662,4223.0752604667,4158.4173844754,
2012-10-16,4329.076172,4235.7316594555,4230.5360352,4162.4895820656,
2012-10-17,4337.525879,4242.2990284583,4239.2751628,4166.6845143443,
2012-10-18,4356.96582,4249.6968859771,4247.745459,4170.9594326885,
2012-10-19,4331.253906,4254.9586292044,4253.9979492333,4175.0586618361,
2012-10-22,4341.376953,4260.5340049332,4260.0218424667,4180.4944648525,
2012-10-23,4330.14502,4265.0250381633,4265.8481445667,4186.0359727705,
2012-10-24,4335.375,4269.5637453786,4271.2240723,4191.5201676721,
2012-10-25,4339.152832,4274.0533638703,4276.8411947,4197.0017570656,
2012-10-29,4331.365234,4277.7509038786,4279.3201009333,4201.0534508361,
2012-10-30,4364.598145,4283.3539516929,4282.9639323333,4205.4055336394,
2012-10-31,4350.291016,4287.6724719708,4287.1771647667,4208.8146172787,
2012-11-01,4335.361816,4290.7492038437,4290.1988607,4212.1735840328,
2012-11-02,4338.89209,4293.8551964989,4294.2447266,4216.2027648361,
2012-11-05,4302.938965,4294.4412460796,4296.1886556333,4219.5326988853,
2012-11-06,4314.265137,4295.7202067842,4299.9670247667,4222.9550941967,
2012-11-07,4350.423828,4299.2494726691,4304.0849447,4227.2967950164,
2012-11-08,4327.868164,4301.0958398517,4309.0084473,4231.1846504262,
2012-11-09,4333.640137,4303.1954719258,4312.6289876667,4234.5038342787,
2012-11-12,4318.59082,4304.1887201886,4314.4966471667,4237.4059138689,
2012-11-13,4332.083984,4305.9884146281,4317.689681,4241.169097459,
2012-11-14,4351.28418,4308.9107220714,4320.8378581,4244.9351307049,
2012-11-19,4313.438965,4309.2028667765,4322.9021159333,4247.7458376721,
2012-11-20,4312.366211,4309.4069535006,4324.2656250333,4250.2353196066,
2012-11-21,4317.276855,4309.9146890812,4324.4643880333,4252.7700355902,
2012-11-22,4335.926758,4311.592887076,4326.7207845333,4255.8934426721,
2012-11-23,4348.808105,4313.9938688775,4329.0060547,4259.2201668525,
2012-11-26,4375.168945,4317.9406479822,4332.1780273333,4263.0287045574,
2012-11-27,4337.508789,4319.203108693,4333.9294270667,4267.0342597541,
2012-11-28,4304.823242,4318.275375358,4333.7104980333,4271.6119685082,
2012-11-29,4319.085938,4318.327669722,4333.8959635333,4275.8538518361,
2012-11-30,4276.141113,4315.6059563851,4332.1314615667,4278.4471775902,
2012-12-03,4302.443848,4314.7567881022,4330.9620605333,4281.6798155902,
2012-12-04,4269.651855,4311.8467924182,4328.0515950333,4284.8650582787,
2012-12-05,4286.839844,4310.2334409073,4326.5711263,4287.8811715574,
2012-12-06,4292.60498,4309.0961208488,4324.9453938667,4290.3225778033,
2012-12-07,4290.795898,4307.9154613102,4323.6337564667,4292.455950623,
2012-12-10,4302.608887,4307.5731016772,4322.5415527,4294.869933082,
2012-12-11,4317.917969,4308.2405124723,4321.8337239333,4297.2276511312,
2012-12-12,4337.527832,4310.1300169579,4322.0391438667,4299.963531,
2012-12-13,4320.188965,4310.7789813477,4320.5588378667,4300.9994476885,
2012-12-14,4308.862793,4310.655356293,4319.1778971,4301.877801623,
2012-12-17,4315.856934,4310.9909419516,4318.5277343667,4303.38539,
2012-12-18,4301.436035,4310.3744963418,4317.2791992,4304.315309623,
2012-12-19,4275.858887,4308.1476828359,4316.3765299333,4305.271748541,
2012-12-20,4254.815918,4304.7069238142,4314.3948893,4305.4388768033,
2012-12-21,4250.213867,4301.1912427294,4311.0545572667,4306.2470703115,
2012-12-26,4275.094238,4299.5075650049,4309.2954264,4307.0373655246,
2012-12-27,4281.86084,4298.3690666175,4307.5694498333,4308.7045418197,
2012-12-28,4316.687012,4299.5508695454,4307.5059895667,4310.2072153607,
2013-01-02,4346.475098,4302.5782391231,4307.9856933667,4311.5828557377,
2013-01-03,4399.257813,4308.8156309862,4309.5848144667,4314.2544105574,
2013-01-04,4410.02002,4315.3449464064,4312.8041829667,4316.765577,
2013-01-07,4392.378906,4320.3148792834,4315.4712728,4319.0748831639,
2013-01-09,4362.928223,4323.0641272651,4316.3400963448,4320.72868655,
2013-01-10,4317.365234,4322.6964567319,4315.2558594138,4321.5475260667,
2013-01-11,4305.912109,4321.6135955879,4312.8676926552,4321.9752278833,
2013-01-14,4382.498047,4325.5416247113,4314.4190463793,4323.6833659,
2013-01-15,4400.824219,4330.3985662783,4317.7294248966,4325.6143229333,
2013-01-16,4410.963867,4335.5963276152,4320.8976293448,4327.2738688333,
2013-01-17,4398.382813,4339.6470686077,4325.1128603793,4328.6882161667,
2013-01-18,4465.483887,4347.7655730201,4330.7349306897,4330.9616780833,
2013-01-21,4439.974121,4353.7145115995,4336.6081122759,4332.6691487833,
2013-01-22,4416.547852,4357.7682754963,4341.0808022069,4333.66218265,
2013-01-23,4418.727051,4361.7010997223,4345.4298391379,4335.1200684,
2013-01-25,4437.598145,4366.5976832886,4350.4919855862,4336.7237549333,
2013-01-28,4416.937012,4369.8453819152,4354.4343347241,4338.1702881333,
2013-01-29,4439.029785,4374.3088917916,4358.6106042414,4339.8978678833,
2013-01-30,4452.975098,4379.3841309018,4362.5915444483,4341.79490565,
2013-01-31,4453.703125,4384.1789047146,4367.195481,4343.8338705,
2013-02-01,4481.633789,4390.466316604,4373.1531015517,4345.7844645667,
2013-02-04,4490.564941,4396.9242923715,4379.1775155862,4348.1223633167,
2013-02-05,4479.440918,4402.2479456378,4385.315615,4350.5236816833,
2013-02-06,4498.976074,4408.4884700483,4393.0093111035,4353.1917480833,
2013-02-07,4503.147949,4414.5955332065,4401.5724845862,4356.5285644833,
2013-02-08,4491.26709,4419.5420852577,4409.8846646897,4359.4785970333,
2013-02-11,4503.24707,4424.942406854,4417.7520037241,4362.0256510667,
2013-02-12,4548.243164,4432.8972944118,4426.9376011035,4365.6985677333,
2013-02-13,4571.567871,4441.8437832239,4435.7265962414,4369.6640299667,
2013-02-15,4609.786133,4452.678773532,4446.4330183214,4375.236493678,
2013-02-18,4612.049805,4462.9607755622,4453.6483677857,4379.6562500339,
2013-02-19,4626.990234,4473.5433212679,4462.0273437857,4384.970678322,
2013-02-20,4634.451172,4483.924472928,4467.9729930345,4390.4297454576,
2013-02-21,4632.403809,4493.5037849327,4477.2652546207,4395.7708802712,
2013-02-22,4651.123047,4503.6727695822,4488.7741447241,4401.1131902542,
2013-02-25,4696.106934,4516.087876964,4502.2291386897,4406.9996110848,
2013-02-26,4663.030762,4525.5680630953,4511.9026805862,4411.8786249322,
2013-02-27,4716.415039,4537.8807712182,4522.7851226552,4418.3007647627,
2013-02-28,4795.789063,4554.5200158493,4536.054957,4426.6222193559,
2013-03-01,4811.612793,4571.1066466332,4550.3042666552,4434.9701321526,
2013-03-05,4751.701172,4582.7579063343,4564.4666748929,4445.4543794483,
2013-03-06,4824.680176,4598.3657946998,4579.0428293214,4455.0238332586,
2013-03-07,4848.299805,4614.4905695579,4594.3847133929,4464.7041774138,
2013-03-08,4874.495117,4631.2650564897,4609.9881766786,4474.7367659828,
2013-03-11,4854.312012,4645.6551826516,4625.6087123929,4484.4525610517,
2013-03-13,4835.438965,4657.8992976418,4639.7661831072,4493.6392865345,
2013-03-14,4786.367188,4666.1875486327,4651.6730434643,4501.7159972069,
2013-03-15,4819.324219,4676.0673338177,4664.7309396786,4510.0228314655,
2013-03-18,4802.826172,4684.2453233778,4676.2020962143,4518.3441626207,
2013-03-19,4822.626953,4693.1731704502,4688.0614537857,4527.2021653793,
2013-03-20,4831.5,4702.0974820341,4700.6349924286,4536.092563069,
2013-03-21,4802.666016,4708.585774548,4711.4810617857,4544.7344592931,
2013-03-22,4723.15918,4709.5259942546,4719.33860575,4552.4465333104,
2013-03-25,4777.900879,4713.9372771414,4729.5755267857,4561.4652395345,
2013-03-26,4842.519043,4722.2328749387,4741.6923829643,4571.6773977414,
2013-03-27,4928.102051,4735.5147572653,4755.2587717857,4582.9361531379,
2013-03-28,4940.98584,4748.7709561514,4768.4522706786,4594.3003772759,
2013-04-01,4937.575195,4760.9518747868,4774.2840956552,4605.0053459483,
2013-04-02,4957.250977,4773.6163329941,4786.265642,4615.5359645517,
2013-04-03,4981.46582,4787.025977317,4799.0041252759,4625.5740336379,
2013-04-04,4922.61084,4795.7733878127,4809.1979392759,4634.4118063966,
2013-04-05,4926.067871,4804.1794835022,4819.2536875172,4643.6133402759,
2013-04-08,4897.520996,4810.2015165666,4828.3956594828,4647.9168598644,
2013-04-09,4899.586914,4815.968316401,4836.9633790345,4657.0127698814,
2013-04-10,4877.475098,4819.936495859,4843.2174536552,4666.5061574068,
2013-04-11,4924.263184,4826.6672499326,4852.2254682069,4676.9866841017,
2013-04-12,4937.209961,4833.7990377434,4859.8390862069,4686.3885809492,
2013-04-15,4894.591797,4837.7211512438,4863.2460770345,4694.7575229492,
2013-04-17,4998.652832,4848.1038403249,4869.6957335517,4710.0000001035,
2013-04-18,5012.638184,4858.7189592717,4878.6935615517,4719.4336948793,
2013-04-19,4998.460938,4867.7345708025,4884.6860016207,4729.062777931,
2013-04-22,4996.922852,4876.0692986217,4889.8109342759,4739.0692434483,
2013-04-23,4975.330078,4882.4732198719,4893.2880018966,4748.6658473621,
